Painting ID,Location,Location Type,Rack,Artist,Title,Height,Width,Depth,Dimension
1979.71.7,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 45A",Screen, 45A,John Doyle,"Sharpshooter 76/Sony Wars from the series Sharpshooters, 1976",36.5,25.87,,"Image: 36 1/2 x 25 7/8 inches (92.7 x 65.7 cm)
Sheet: 41 9/16 x 29 5/8 inches (105.6 x 75.2 cm)"
1980.1.3,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 39B",Screen, 39B,"Jan Saenredam, After an engraving by Hendrik Goltzius",Venus Resting with Cupid (after Hendrick Goltzius),8.74,6.26,,"8 3/4 x 6 1/4 inches (22.2 x 15.9 cm)
Frame: 21 1/2 x 16 1/2 inches (54.6 x 41.9 cm)"
1980.30.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62F, Textile Roll # 1",Screen, 62F,Navajo,"Weaving, c. 1915",41.5,60.98,,41 1/2 x 61 inches (105.4 x 154.9 cm)
1980.30.2,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62J, Textile Roll #4",Screen, 62J,Navajo,"Weaving, c. 1915",32.01,57.01,,32 x 57 inches (81.3 x 144.8 cm)
1980.32.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63S, Textile Roll #19",Screen, 63S,Spanish,"Embroidered Panel ( a la Fragonard), 18th century",139.02,37.01,,139 x 37 inches (353.1 x 94 cm)
1980.32.2,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63S, Textile Roll #19",Screen, 63S,Spanish,"Embroidered Panel ( a la Fragonard), 18th century",139.02,37.01,,139 x 37 inches (353.1 x 94 cm)
1980.32.3,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63S, Textile Roll #19",Screen, 63S,Spanish,"Embroidered Panel ( a la Fragonard), 18th century",139.02,37.01,,139 x 37 inches (353.1 x 94 cm)
1980.32.4,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63S, Textile Roll #19",Screen, 63S,Spanish,"Embroidered Panel ( a la Fragonard), 18th century",139.02,37.01,,139 x 37 inches (353.1 x 94 cm)
1980.32.5,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63S, Textile Roll #19",Screen, 63S,Chinese,"Embroidered Panel With Floral Motif, n.d.",50.0,31.73,,50 x 31 3/4 inches (127 x 80.6 cm)
1980.35.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 12A",Screen, 12A,"Francisco de Campos, c. 1515 - 1580 (attributed to)","Resurrection from Scenes from the life of Christ and the Virgin Mary, 1560–1565",25.0,15.98,,25 x 16 inches (63.5 x 40.6 cm)
1980.35.2,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 12A",Screen, 12A,"Francisco de Campos, c. 1515 - 1580 (attributed to)","Pentecost from Scenes from the life of Christ and the Virgin Mary, 1560–1565",25.0,15.98,,25 x 16 inches (63.5 x 40.6 cm)
1980.35.3,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 12A",Screen, 12A,"Francisco de Campos, c. 1515 - 1580 (attributed to)","Assumption of the Virgin from Scenes from the life of Christ and the Virgin Mary, 1560–1565",25.0,15.98,,25 x 16 inches (63.5 x 40.6 cm)
1980.71.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 20A",Screen, 20A,"Unknown, In the style of Giorgio de Chirico","The Silent Life of Fruit (vita silente di frutta), c. 1963",15.98,20.0,,16 x 20 inches (40.6 x 50.8 cm)
1980.81.5,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 38A",Screen, 38A,"Romare Bearden, Published by London Arts Group","In the Garden from American Portfolio, 1979 (published 1980)",22.24,16.26,,"Image: 22 1/4 x 16 1/4 inches (56.5 x 41.3 cm)
Sheet: 28 3/4 x 21 1/4 inches (73 x 54 cm)
Mat: 31 7/8 x 24 5/8 inches (81 x 62.5 cm)"
1980.98.3,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 48A",Screen, 48A,Richard Smith,"K. Magenta, 1971",23.27,19.49,,"23 1/4 x 19 1/2 inches (59.1 x 49.5 cm)
Frame: 24 1/2 × 20 1/2 × 2 1/2 inches (62.2 × 52.1 × 6.4 cm)"
1980.98.4,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 48A",Screen, 48A,Richard Smith,"C. Grey, 1971",23.27,19.49,,"23 1/4 x 19 1/2 inches (59.1 x 49.5 cm)
Frame: 24 1/2 × 20 1/2 × 3 inches (62.2 × 52.1 × 7.6 cm)"
1981.14.6,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62D, Textile Roll #2",Screen, 62D,Navajo,"Saddle blanket, 20th century",19.76,37.99,,19 3/4 x 38 inches (50.2 x 96.5 cm)
1981.14.9,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62D",Screen, 62D,Navajo,"Ganado style Weaving, 20th century",34.25,57.24,,34 1/4 x 57 1/4 inches (87 x 145.4 cm)
1981.14.10,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62D",Screen, 62D,Navajo,"Germantown Weaving, c. 1900",34.02,50.0,,34 x 50 inches (86.4 x 127 cm)
1981.14.11,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62J, Textile Roll #3",Screen, 62J,Navajo,"Yei Weaving, 20th century",40.0,65.98,,40 x 66 inches (101.6 x 167.6 cm)
1981.14.12,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62J, Textile Roll #3",Screen, 62J,Navajo,"Weaving, 20th century",39.76,65.51,,39 3/4 x 65 1/2 inches (101 x 166.4 cm)
1981.14.13,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62P",Screen, 62P,Rio Grande,"Blanket, mid 19th century",82.99,60.51,,83 x 60 1/2 inches (210.8 x 153.7 cm)
1981.25.3,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 54A",Screen, 54A,Arthur Bowen Davies,"Marjorie, late 19th–early 20th Century",21.73,15.98,,with frame: 21 3/4 x 16 inches (55.2 x 40.6 cm)
1981.26.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Screen, 52A,Raul Schur,"Untitled, 20th century",12.01,7.99,,"Sight: 12 x 8 inches (30.5 x 20.3 cm)
Frame: 16 1/4 x 12 1/4 x 1/2 inches (41.3 x 31.1 x 1.3 cm)"
1982.7.2,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 45B",Screen, 45B,John McCurdy,"Descent from Above, 1971",47.99,64.02,,48 x 64 inches (121.9 x 162.6 cm)
1982.24.1.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,"Paracas, or Nazca","Tassel, c. 500 BCE",4.49,2.99,,each: 4 1/2 x 3 inches (11.4 x 7.6 cm)
1982.24.1.2,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,"Paracas, Nazca","Tassel, c. 500 BCE",4.49,2.99,,each: 4 1/2 x 3 inches (11.4 x 7.6 cm)
1982.27.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62O",Screen, 62O,Bolivian,"Two Joined Textile Panels, c. 1900",52.01,49.02,,52 x 49 inches (132.1 x 124.5 cm)
1982.27.2,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62D",Screen, 62D,Bolivian,"Manta, 1900s",34.02,42.99,,34 x 43 inches (86.4 x 109.2 cm)
1982.27.4,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62H, Textile Roll 10",Screen, 62H,Bolivian,"Half Aksu, 1900s",30.0,35.98,,30 x 36 inches (76.2 x 91.4 cm)
1982.27.6,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63P, Textile Roll # 17",Screen, 63P,Bolivian,"Balandran (horseman's poncho), 1900s",54.02,77.01,,54 x 77 inches (137.2 x 195.6 cm)
1982.27.7,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62E, Textile Roll # 6",Screen, 62E,"Calcha, Potosi","Poncho, 1900s",46.73,52.99,,46 3/4 x 53 inches (118.7 x 134.6 cm)
1982.27.8,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63O",Screen, 63O,Bolivian,"Manta, 1900s",32.52,37.52,,32 1/2 x 37 1/2 inches (82.6 x 95.3 cm)
1982.27.9,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63S, Textile Roll #19",Screen, 63S,Bolivian,"Poncho, 1900s",52.01,60.98,,52 x 61 inches (132.1 x 154.9 cm)
1982.27.13,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62J, Textile Roll #3",Screen, 62J,Potosi,"Poncho, 1960s",49.02,57.01,,49 x 57 inches (124.5 x 144.8 cm)
1982.27.14,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63O",Screen, 63O,Peruvian,"Poncho, 1970s",40.51,47.01,,40 1/2 x 47 inches (102.9 x 119.4 cm)
1982.27.15,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62O",Screen, 62O,Bolivian,"Poncho, c. 1965",47.52,53.5,,47 1/2 x 53 1/2 inches (120.7 x 135.9 cm)
1982.27.16,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62F, Textile Roll # 9",Screen, 62F,Bolivian,"Asku, c. 1970",32.01,55.51,,32 x 55 1/2 inches (81.3 x 141 cm)
1982.27.17,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62J, Textile Roll #4",Screen, 62J,Bolivian,"Aksu: Two Joined Textile Panels, c. 1960",36.26,45.98,,36 1/4 x 46 inches (92.1 x 116.8 cm)
1982.27.18,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63O",Screen, 63O,Bolivian,"Manta, c. 1960",35.98,45.0,,36 x 45 inches (91.4 x 114.3 cm)
1982.27.19,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62E, Textile Roll # 6",Screen, 62E,Potosi,"Manta, 1970s",40.51,42.99,,40 1/2 x 43 inches (102.9 x 109.2 cm)
1982.27.20,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62I, Textile Roll # 2",Screen, 62I,Bolivian,"Manta, 1900s",42.52,44.02,,42 1/2 x 44 inches (108 x 111.8 cm)
1982.27.21,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63P, Textile Roll # 17",Screen, 63P,Bolivian,"Poncho, c. 1970",54.02,60.0,,54 x 60 inches (137.2 x 152.4 cm)
1983.3.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 45B",Screen, 45B,Kenneth Noland,"Handmade Paper (PK-0388), 1981",25.98,30.0,,26 x 30 inches (66 x 76.2 cm)
1983.8.36,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63H",Screen, 63H,The Friendship Senior Citizens Club,"Quilt, 20th century",69.02,80.98,,69 x 81 inches (175.3 x 205.7 cm)
1983.9.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 61A",Screen, 61A,Aldo Pagliacci,"Untitled, 1954",9.84,7.6,,9 13/16 x 7 5/8 inches (25 x 19.3 cm)
1983.9.2,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 61A",Screen, 61A,Aldo Pagliacci,"Untitled, 1954",10.39,7.87,,10 3/8 x 7 7/8 inches (26.4 x 20 cm)
1983.9.7,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 61A",Screen, 61A,Alice Baber,"Split Circle, 1972",17.99,14.02,,18 x 14 inches (45.7 x 35.6 cm)
1983.9.8,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 61A",Screen, 61A,Alice Baber,"Your Cousin, Xmas 1974, 1974",10.98,9.02,,11 x 9 inches (27.9 x 22.9 cm)
1983.9.14,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 60A",Screen, 60A,American,"Untitled (portrait of a young child holding a rosebud), 20th century",30.0,24.76,,30 x 24 3/4 inches (76.2 x 62.9 cm)
1983.9.15,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 19A",Screen, 19A,Geoffrey Budd Landis,"Wanton Wind: Billow in Orange and Red II, 1979",23.74,45.98,,23 3/4 x 46 inches (60.3 x 116.8 cm)
1983.10.8,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Screen, 52A,Joshua Taylor,"Moonstone Colors, 1931",8.07,10.43,,8 1/16 x 10 7/16 inches (20.5 x 26.5 cm)
1983.10.21,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 55A",Screen, 55A,Robert Natkin,"Untitled, 1971",23.5,35.51,,"image: 23 1/2 x 35 1/2 inches (59.7 x 90.2 cm)
with mounting and frame: 40 x 28 3/4 inches (101.6 x 73 cm)"
1983.10.22,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 55A",Screen, 55A,Japanese,"Untitled, 19th century",23.5,36.5,,23 1/2 x 36 1/2 inches (59.7 x 92.7 cm)
1983.10.26,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Screen, 52A,Kiyoshi Saito,"Woman, 20th century",8.5,14.02,,8 1/2 x 14 inches (21.6 x 35.6 cm)
1983.10.27,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 56A",Screen, 56A,Kiyoshi Saito,"Way Nara, 1960",15.98,22.01,,16 x 22 inches (40.6 x 55.9 cm)
1983.10.28,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 56B",Screen, 56B,Kiyoshi Saito,"Maiko Kyoto, 1960",15.98,22.01,,16 x 22 inches (40.6 x 55.9 cm)
1983.10.30,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Screen, 52A,Edwin Mieczkowski,"Untitled abstract, 20th century",17.52,20.98,,17 1/2 x 21 inches (44.5 x 53.3 cm)
1983.10.33,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Screen, 52A,Unknown,"Untitled, 20th century",10.75,19.76,,10 3/4 x 19 3/4 inches (27.3 x 50.2 cm)
1983.10.45,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Screen, 52A,"Jacques Hnizdovsky, American, born in Ukraine, 1915 - 1985","Jerome, 1978",13.5,9.49,,image: 13 1/2 x 9 1/2 inches (34.3 x 24.1 cm)
1983.10.46,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Screen, 52A,Ronald Thomason,"The Running N Longhorn Steer, 20th century",8.5,10.98,,image: 8 1/2 x 11 inches (21.6 x 27.9 cm)
1983.10.47,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Screen, 52A,John Towhey,"Untitled, 1973",14.02,15.0,,14 x 15 inches (35.6 x 38.1 cm)
1983.10.50,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Screen, 52A,Unknown,"Untitled, 1800–1899",14.02,6.5,,image: 14 x 6 1/2 inches (35.6 x 16.5 cm)
1983.10.51,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Screen, 52A,Ernest Levinstein,"Untitled, 1967",5.75,7.76,,5 3/4 x 7 3/4 inches (14.6 x 19.7 cm)
1983.10.53,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 55A",Screen, 55A,Sunil Das,"Untitled (horses), 20th century",27.01,28.74,,27 x 28 3/4 inches (68.6 x 73 cm)
1983.10.59,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Screen, 52A,Bernard Buffet,"Les Parisiennes Vues par les Peintres Temoins de leur Temps, 1958",29.02,18.5,,29 x 18 1/2 inches (73.7 x 47 cm)
1983.10.61,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 56A",Screen, 56A,Claes Oldenburg,"Object into Monument, 1972",21.5,13.74,,21 1/2 x 13 3/4 inches (54.6 x 34.9 cm)
1983.10.65,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Screen, 52A,Paul Brown,"Untitled, 20th century",9.02,12.01,,9 x 12 inches (22.9 x 30.5 cm)
1983.10.66,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Screen, 52A,Paul Brown,"Untitled, 20th century",9.49,10.98,,9 1/2 x 11 inches (24.1 x 27.9 cm)
1983.10.67,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 61A",Screen, 61A,"John Cameron, American, born in Scotland  c.1828 
Published by Currier & Ives, American, active in New York, 1835–1907","Trotting Mare Nancy Hanks, record 2:04, 1872",17.76,13.27,,17 3/4 x 13 1/4 inches (45.1 x 33.7 cm)
1983.10.68,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 56B",Screen, 56B,Anonymous,"Nancy Hanks 2:04, Driven by Budd Doble, 1872",15.75,19.49,,15 3/4 x 19 1/2 inches (40 x 49.5 cm)
1983.10.81,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 47A",Screen, 47A,James Harbour Crable,"Times Square: New York, New York, 1978",35.71,42.01,,35 11/16 x 42 inches (90.7 x 106.7 cm)
1983.10.83,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 55A",Screen, 55A,American,"Festival Casals de Puerto Rico/ 31 de mayo al 17 de Junio de 1972, 20th century",27.99,18.27,,28 x 18 1/4 inches (71.1 x 46.4 cm)
1983.21.3,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,"Peruvian, North Coast","Loincloth Tie End, 1400–1460",12.99,19.49,,13 x 19 1/2 inches (33 x 49.5 cm)
1983.21.7,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,Peruvian,"Chuspa (Coca bag), 900–1500",9.02,5.51,,9 x 5 1/2 inches (22.9 x 14 cm)
1983.21.15,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,Chancay,"Three Stripe Panel, 900–1500",7.99,17.99,,8 x 18 inches (20.3 x 45.7 cm)
1983.21.24,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63S, Textile Roll #19",Screen, 63S,"Bolivian, Peruvian","Aksu, c. 1875",,,,
1983.21.25,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62J, Textile Roll #4",Screen, 62J,Bolivian,"Half Luto (mourning) Aksu, c. 1966",36.5,42.24,,36 1/2 x 42 1/4 inches (92.7 x 107.3 cm)
1983.21.26,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62H, Textile Roll 10",Screen, 62H,Bolivian,"Half Aksu: Birds, c. 1965",30.0,38.39,,30 x 38 3/8 inches (76.2 x 97.5 cm)
1983.21.32,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62H, Textile Roll 10",Screen, 62H,Bolivian,"Aksu, c. 1970",47.99,30.39,,48 x 30 3/8 inches (121.9 x 77.2 cm)
1983.21.33,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62F, Textile Roll # 1",Screen, 62F,Bolivian,"Lliclla or Woman's Shawl Mantle with a Ribete, 1920–1930",,,,
1983.21.34,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62J, Textile Roll #4",Screen, 62J,Bolivian,"Half-aksu, 1973–1974",,,,
1983.21.36,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62H, Textile Roll 8",Screen, 62H,Bolivian,"Capacho (large bag), c. 1955–1960",35.39,37.36,,35 3/8 x 37 3/8 inches (89.9 x 94.9 cm)
1984.13.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 51A",Screen, 51A,Henry Salem Hubbell,"Portrait of Harlan Fiske Stone; Chief Justice, United States Supreme Court, 1942",44.02,37.52,,44 x 37 1/2 inches (111.8 x 95.3 cm)
1984.15.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 12B",Screen, 12B,Claude Vignon (attributed to),"Saint Jerome, 17th century",37.52,50.0,,37 1/2 x 50 inches (95.3 x 127 cm)
1984.20.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63I, Textile Roll # 14",Screen, 63I,Coastal Huari,"Textile Panel, 700–900",81.5,27.99,,81 1/2 x 28 inches (207 x 71.1 cm)
1984.25.2,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 12A",Screen, 12A,"Federico Zuccaro, Italian, c. 1540-1609","The Conversion of Mary Magdalene, c. 1563",10.0,21.26,,10 x 21 1/4 inches (25.4 x 54 cm)
1984.28.2,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Screen, 52A,Arthur Bowen Davies,"Horse and Wagon and Man, late 19th–early 20th Century",10.98,12.76,,framed: 11 x 12 3/4 inches (27.9 x 32.4 cm)
1984.54.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62R",Screen, 62R,Flemish,"Tapestry: A pastoral scene featuring a large water bird (crane?) in left foreground and large broad leaf tree on right.  In background is a body of water, 17th century",91.89,50.51,,91 7/8 x 50 1/2 inches (233.4 x 128.3 cm)
1986.7.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 47A",Screen, 47A,"Michelangelo Pistoletto
Born in Biella, Italy, 1933","Clothes (Panni) from The Drape Suite, 1981",47.24,39.49,0.98,47 1/4 × 39 1/2 × 1 inches (120 × 100.3 × 2.5 cm)
1986.7.2,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 44A",Screen, 44A,"Michelangelo Pistoletto
Born in Biella, Italy, 1933","The Rose (La Rosa), 1981",47.24,39.61,0.98,47 1/4 × 39 5/8 × 1 inches (120 × 100.6 × 2.5 cm)
1986.12.5,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62H, Textile Roll 8",Screen, 62H,Bolivian,"Poncho, 20th century",47.99,44.49,,48 x 44 1/2 inches (121.9 x 113 cm)
1986.13.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 25B",Screen, 25B,Bruce Crane,"In New England, late 19th century–early 20th century",15.51,21.5,,15 1/2 x 21 1/2 inches (39.4 x 54.6 cm)
1987.3.1,"Nasher Museum Building, Nasher Painting Storage Room, Wall Screen, 46",Wall Screen, 46,Japanese,"Untitled (two birds in flight, bamboo branches), 20th century",47.87,12.44,,"Image: 47 7/8 x 12 7/16 inches (121.6 x 31.6 cm)
Mount: 64 1/2 x 17 5/16 inches (163.8 x 44 cm)
Overall (hanging height including cord, width with scroll bar): 66 x 18 3/8 inches (167.6 x 46.7 cm)
Other (Bottom scroll bar): 1 x 18 3/8 x 1 inches (2.5 x 46.7 x 2.5 cm)"
1987.5.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 24A",Screen, 24A,Albert Bierstadt,"Mountain Brook, The White Mountains, New Hampshire, 1863",18.5,15.24,,18 1/2 x 15 1/4 inches (47 x 38.7 cm)
1987.7.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 25A",Screen, 25A,John Frederick Kensett,"Eastern Landscape, c. 1850s",12.13,10.0,,"12 1/8 x 10 inches (30.8 x 25.4 cm)
Frame: 18 3/4 x 16 3/4 x 3 inches (47.6 x 42.5 x 7.6 cm)"
1987.8.4,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 61A",Screen, 61A,Gatja Rothe,"Lake, 1988",4.88,6.89,,4 7/8 x 6 7/8 inches (12.4 x 17.5 cm)
1987.9.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,"Peruvian, North Coast","Panel Fragment, 1100–1300",4.02,20.98,,4 x 21 inches (10.2 x 53.3 cm)
1987.9.3,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28A",Screen, 28A,"Peruvian, Central Coast","Border, pre-1534",4.02,29.02,,4 x 29 inches (10.2 x 73.7 cm)
1987.9.6,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28A",Screen, 28A,"Peruvian, South Coast","Fragment, 1350–1420",6.26,10.24,,6 1/4 x 10 1/4 inches (15.9 x 26 cm)
1987.9.9,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28A",Screen, 28A,Chimú,"Fragment: Tunic Border, c. 1000–1400",2.99,22.99,,3 x 23 inches (7.6 x 58.4 cm)
1987.9.10,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28A",Screen, 28A,"Chimú, or Inca","Textile Fragment Depicting a Warrior, 1100–1300",5.12,6.14,,5 1/8 x 6 1/8 inches (13 x 15.6 cm)
1987.9.11,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28A",Screen, 28A,"Chimú, or Inca","Textile Fragment Depicting a Warrior, 1100–1300",5.98,8.5,,6 x 8 1/2 inches (15.2 x 21.6 cm)
1987.11.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 56A",Screen, 56A,Rufino Tamayo,"Untitled, 20th century",20.75,27.52,,20 3/4 x 27 1/2 inches (52.7 x 69.9 cm)
1988.1.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 37A",Screen, 37A,Julius Caesar Ibbetson,"Landscape, 1759–1817",17.13,21.26,,"17 1/8 x 21 1/4 inches (43.5 x 54 cm)
Frame: 25 1/8 x 29 1/8 x 3 inches (63.8 x 74 x 7.6 cm)"
1988.5.6,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 61A",Screen, 61A,French,"Atalanta, 17th century",7.76,5.51,,7 3/4 x 5 1/2 inches (19.7 x 14 cm)
1989.4.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 54A",Screen, 54A,Teotihuacán,"Mural Fragment with Image of Processional Figure, 600–750",26.57,28.5,,26 9/16 x 28 1/2 inches (67.5 x 72.4 cm)
1991.1.2,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 39B",Screen, 39B,"Irwin Kremen
Born in Chicago, Illinois, 1925","Junctures, 1979",5.39,4.61,,5 3/8 x 4 5/8 inches (13.7 x 11.7 cm)
1991.2.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 12B",Screen, 12B,Antwerp School,"Madonna and Child, c. 1540",27.76,17.99,,27 3/4 x 18 inches (70.5 x 45.7 cm)
1991.6.115,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 58B",Screen, 58B,"Anonymous, Duke University",Spirit of Cats,9.84,14.17,,Frame: 9 13/16 x 14 3/16 inches (25 x 36 cm)
1991.9.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 04B",Screen, 04B,,"Portrait of Miss Mary Lillian Duke (Mrs. Mary Duke Biddle, 1892-1960), 1911",83.27,44.76,,"83 1/4 × 44 3/4 inches (211.5 × 113.7 cm)
Frame: 94 1/2 × 55 3/4 × 5 1/2 inches (240 × 141.6 × 14 cm)"
1991.16.2,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 61B",Screen, 61B,van Merle,"L' Este, 17th century",9.37,12.52,,9 3/8 x 12 1/2 inches (23.8 x 31.8 cm)
1992.2.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 47A",Screen, 47A,Philip Guston,"Untitled, 1969",26.5,24.02,,26 1/2 x 24 inches (67.3 x 61 cm)
1992.8.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 33A",Screen, 33A,,"Stalin with Hitler's Remains from the series Anarchistic Synthesism, 1985–1986",84.25,60.24,,84 1/4 x 60 1/4 inches (214 x 153 cm)
1992.9.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 49A",Screen, 49A,Cindy Sherman,"Untitled #140 from the series Fairy Tales, 1985",71.93,48.07,,"Image/trimmed sheet/mount: 71 15/16 x 48 1/16 inches (182.7 x 122.1 cm)
Frame: 73 1/8 x 49 3/8 x 2 1/2 inches (185.7 x 125.4 x 6.4 cm)"
1992.11.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28A",Screen, 28A,"Unidentified Culture, Peruvian",Chuspa Bag with Feline Pattern,6.5,8.27,,"6 1/2 x 8 1/4 inches (16.5 x 21 cm)
Length of strap: 34 inches (86.4 cm)
Mount:"
1992.12.5,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 61A",Screen, 61A,In the style of Francois Perrier,"Battle Scene, 17th century",8.5,10.0,,"Panel: 8 1/2 x 10 inches (21.6 x 25.4 cm)
Frame: 11 1/4 x 12 3/4 x 1316 inches (28.6 x 32.4 x 3342.6 cm)"
